Name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
"BMW X4 M Sport X xDrive20d",2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5800000,21000,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5400000,7500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"BMW X4 M Sport X xDrive20d",2019,5500000,8500,Diesel,Dealer,Automatic,"First Owner","16.78 kmpl","1995 CC","190 bhp","400Nm@ 1750-2500rpm",5
"Ford Aspire Titanium BSIV",2019,800000,33000,Petrol,Dealer,Manual,"First Owner","19.4 kmpl","1194 CC","94.93 bhp","120Nm@ 4250rpm",5
"Ford Ecosport 1.5 Diesel Titanium",2019,950000,16034,Diesel,Dealer,Manual,"First Owner","21.7 kmpl","1498 CC","98.96 bhp","215Nm@ 1750-2500rpm",5
"Ford EcoSport 1.5 Diesel Titanium Plus BSIV",2019,1050000,26000,Diesel,Dealer,Manual,"First Owner","23.0 kmpl","1498 CC","98.96 bhp","205Nm@ 1750-3250rpm",5
"Ford Figo 1.2P Titanium MT",2019,675000,2789,Petrol,Dealer,Manual,"First Owner","18.16 kmpl","1196 CC","86.8 bhp","112Nm@ 4000rpm",5
"Ford Figo Titanium Blu",2019,700000,3177,Petrol,Dealer,Manual,"First Owner","18.5 kmpl","1194 CC","94.93 bhp","119Nm@ 4250rpm",5
"Honda Amaze S i-VTEC",2019,690000,1303,Petrol,Dealer,Manual,"First Owner","17.8 kmpl","1198 CC","86.7 bhp","109Nm@ 4500rpm",5
"Honda Amaze S i-VTEC",2019,690000,1303,Petrol,Dealer,Manual,"First Owner","17.8 kmpl","1198 CC","86.7 bhp","109Nm@ 4500rpm",5
"Honda Amaze S i-VTEC",2019,690000,1303,Petrol,Dealer,Manual,"First Owner","17.8 kmpl","1198 CC","86.7 bhp","109Nm@ 4500rpm",5
"Honda Amaze S i-VTEC",2019,690000,1303,Petrol,Dealer,Manual,"First Owner","17.8 kmpl","1198 CC","86.7 bhp","109Nm@ 4500rpm",5
"Honda Amaze S i-VTEC",2019,690000,1303,Petrol,Dealer,Manual,"First Owner","17.8 kmpl","1198 CC","86.7 bhp","109Nm@ 4500rpm",5
"Honda Civic ZX",2019,2000000,24857,Petrol,Dealer,Automatic,"Test Drive Car","16.5 kmpl","1799 CC","139.46 bhp","174Nm@ 4300rpm",5
"Hyundai Creta 1.6 SX Option",2019,1150000,31000,Petrol,Dealer,Manual,"First Owner","15.8 kmpl","1591 CC","121.3 bhp","151Nm@ 4850rpm",5
"Hyundai Elite i20 Sportz Plus Dual Tone BSIV",2019,685000,4300,Petrol,Dealer,Manual,"First Owner","18.6 kmpl","1197 CC","81.86 bhp","117nm@ 4000rpm",5
"Hyundai Grand i10 Magna AT",2019,625000,4337,Petrol,Dealer,Automatic,"First Owner","18.9 kmpl","1197 CC","82 bhp","114Nm@ 4000rpm",5
"Hyundai Grand i10 Magna AT",2019,625000,4337,Petrol,Dealer,Automatic,"First Owner","18.9 kmpl","1197 CC","82 bhp","114Nm@ 4000rpm",5
"Hyundai i20 1.2 Asta",2019,721000,9400,Petrol,Dealer,Manual,"First Owner","18.6 kmpl","1197 CC","81.83 bhp","114.7Nm@ 4000rpm",5
"Hyundai i20 Asta Option 1.2",2019,785000,9000,Petrol,Dealer,Manual,"First Owner","18.6 kmpl","1197 CC","81.83 bhp","114.7Nm@ 4000rpm",5
"Hyundai Santro Magna",2019,434999,19500,Petrol,Dealer,Manual,"First Owner","20.3 kmpl","1086 CC","68.07 bhp","99.07Nm@ 4500rpm",5
"Hyundai Santro Magna",2019,434999,19500,Petrol,Dealer,Manual,"First Owner","20.3 kmpl","1086 CC","68.07 bhp","99.07Nm@ 4500rpm",5
"Hyundai Venue SX Plus Turbo DCT BSIV",2019,1125000,3500,Petrol,Dealer,Automatic,"First Owner","18.15 kmpl","998 CC","118.35 bhp","171.6Nm@ 1500-4000rpm",5
"Hyundai Venue SX Plus Turbo DCT BSIV",2019,1125000,3500,Petrol,Dealer,Automatic,"First Owner","18.15 kmpl","998 CC","118.35 bhp","171.6Nm@ 1500-4000rpm",5
"Jeep Compass 1.4 Limited",2019,1450000,22000,Petrol,Dealer,Automatic,"First Owner","16.0 kmpl","1368 CC","160 bhp","250Nm@ 1750-2500rpm",5
"Jeep Compass 1.4 Limited",2019,1450000,22000,Petrol,Dealer,Automatic,"First Owner","16.0 kmpl","1368 CC","160 bhp","250Nm@ 1750-2500rpm",5
"Jeep Compass 2.0 Limited Plus 4X4",2019,2150000,25000,Diesel,Dealer,Manual,"First Owner","16.3 kmpl","1956 CC","170.63 bhp","350Nm@ 1750-2500rpm",5
"Land Rover Discovery Sport TD4 SE",2019,4500000,21000,Diesel,Dealer,Automatic,"First Owner","12.83 kmpl","1999 CC","148.31 bhp","382nm@ 1750-2250rpm",7
"Land Rover Discovery Sport TD4 SE",2019,4500000,21000,Diesel,Dealer,Automatic,"First Owner","12.83 kmpl","1999 CC","148.31 bhp","382nm@ 1750-2250rpm",7
"Land Rover Discovery Sport TD4 SE",2019,4500000,21000,Diesel,Dealer,Automatic,"First Owner","12.83 kmpl","1999 CC","148.31 bhp","382nm@ 1750-2250rpm",7
"Land Rover Discovery Sport TD4 SE",2019,4500000,21000,Diesel,Dealer,Automatic,"First Owner","12.83 kmpl","1999 CC","148.31 bhp","382nm@ 1750-2250rpm",7
"Lexus ES 300h",2019,5150000,20000,Petrol,Dealer,Automatic,"First Owner","22.37 kmpl","2487 CC","214.56 bhp","202Nm@ 3600-5200rpm",5
"Lexus ES 300h",2019,5150000,20000,Petrol,Dealer,Automatic,"First Owner","22.37 kmpl","2487 CC","214.56 bhp","202Nm@ 3600-5200rpm",5
"Lexus ES 300h",2019,5150000,20000,Petrol,Dealer,Automatic,"First Owner","22.37 kmpl","2487 CC","214.56 bhp","202Nm@ 3600-5200rpm",5
"Lexus ES 300h",2019,5150000,20000,Petrol,Dealer,Automatic,"First Owner","22.37 kmpl","2487 CC","214.56 bhp","202Nm@ 3600-5200rpm",5
"Lexus ES 300h",2019,5150000,20000,Petrol,Dealer,Automatic,"First Owner","22.37 kmpl","2487 CC","214.56 bhp","202Nm@ 3600-5200rpm",5
"Lexus ES 300h",2019,5150000,20000,Petrol,Dealer,Automatic,"First Owner","22.37 kmpl","2487 CC","214.56 bhp","202Nm@ 3600-5200rpm",5
"Lexus ES 300h",2019,5150000,20000,Petrol,Dealer,Automatic,"First Owner","22.37 kmpl","2487 CC","214.56 bhp","202Nm@ 3600-5200rpm",5
"Lexus ES 300h",2019,5150000,20000,Petrol,Dealer,Automatic,"First Owner","22.37 kmpl","2487 CC","214.56 bhp","202Nm@ 3600-5200rpm",5
"Lexus ES 300h",2019,5150000,20000,Petrol,Dealer,Automatic,"First Owner","22.37 kmpl","2487 CC","214.56 bhp","202Nm@ 3600-5200rpm",5
"Lexus ES 300h",2019,5150000,20000,Petrol,Dealer,Automatic,"First Owner","22.37 kmpl","2487 CC","214.56 bhp","202Nm@ 3600-5200rpm",5
"Lexus ES 300h",2019,5150000,20000,Petrol,Dealer,Automatic,"First Owner","22.37 kmpl","2487 CC","214.56 bhp","202Nm@ 3600-5200rpm",5
"Lexus ES 300h",2019,5150000,20000,Petrol,Dealer,Automatic,"First Owner","22.37 kmpl","2487 CC","214.56 bhp","202Nm@ 3600-5200rpm",5
"Lexus ES 300h",2019,5150000,20000,Petrol,Dealer,Automatic,"First Owner","22.37 kmpl","2487 CC","214.56 bhp","202Nm@ 3600-5200rpm",5
"Lexus ES 300h",2019,5150000,20000,Petrol,Dealer,Automatic,"First Owner","22.37 kmpl","2487 CC","214.56 bhp","202Nm@ 3600-5200rpm",5
"Lexus ES 300h",2019,5150000,20000,Petrol,Dealer,Automatic,"First Owner","22.37 kmpl","2487 CC","214.56 bhp","202Nm@ 3600-5200rpm",5
"Lexus ES 300h",2019,5150000,20000,Petrol,Dealer,Automatic,"First Owner","22.37 kmpl","2487 CC","214.56 bhp","202Nm@ 3600-5200rpm",5
"Lexus ES 300h",2019,5150000,20000,Petrol,Dealer,Automatic,"First Owner","22.37 kmpl","2487 CC","214.56 bhp","202Nm@ 3600-5200rpm",5
"Lexus ES 300h",2019,5150000,20000,Petrol,Dealer,Automatic,"First Owner","22.37 kmpl","2487 CC","214.56 bhp","202Nm@ 3600-5200rpm",5
"Lexus ES 300h",2019,5150000,20000,Petrol,Dealer,Automatic,"First Owner","22.37 kmpl","2487 CC","214.56 bhp","202Nm@ 3600-5200rpm",5
"Lexus ES 300h",2019,5150000,20000,Petrol,Dealer,Automatic,"First Owner","22.37 kmpl","2487 CC","214.56 bhp","202Nm@ 3600-5200rpm",5
"Lexus ES 300h",2019,5150000,20000,Petrol,Dealer,Automatic,"First Owner","22.37 kmpl","2487 CC","214.56 bhp","202Nm@ 3600-5200rpm",5
"Lexus ES 300h",2019,5150000,20000,Petrol,Dealer,Automatic,"First Owner","22.37 kmpl","2487 CC","214.56 bhp","202Nm@ 3600-5200rpm",5
"Lexus ES 300h",2019,5150000,20000,Petrol,Dealer,Automatic,"First Owner","22.37 kmpl","2487 CC","214.56 bhp","202Nm@ 3600-5200rpm",5
"Lexus ES 300h",2019,5150000,20000,Petrol,Dealer,Automatic,"First Owner","22.37 kmpl","2487 CC","214.56 bhp","202Nm@ 3600-5200rpm",5
"Lexus ES 300h",2019,5150000,20000,Petrol,Dealer,Automatic,"First Owner","22.37 kmpl","2487 CC","214.56 bhp","202Nm@ 3600-5200rpm",5
"Lexus ES 300h",2019,5150000,20000,Petrol,Dealer,Automatic,"First Owner","22.37 kmpl","2487 CC","214.56 bhp","202Nm@ 3600-5200rpm",5
"Lexus ES 300h",2019,5150000,20000,Petrol,Dealer,Automatic,"First Owner","22.37 kmpl","2487 CC","214.56 bhp","202Nm@ 3600-5200rpm",5
"Lexus ES 300h",2019,5150000,20000,Petrol,Dealer,Automatic,"First Owner","22.37 kmpl","2487 CC","214.56 bhp","202Nm@ 3600-5200rpm",5
"Lexus ES 300h",2019,5150000,20000,Petrol,Dealer,Automatic,"First Owner","22.37 kmpl","2487 CC","214.56 bhp","202Nm@ 3600-5200rpm",5
"Lexus ES 300h",2019,5150000,20000,Petrol,Dealer,Automatic,"First Owner","22.37 kmpl","2487 CC","214.56 bhp","202Nm@ 3600-5200rpm",5
"Lexus ES 300h",2019,5150000,20000,Petrol,Dealer,Automatic,"First Owner","22.37 kmpl","2487 CC","214.56 bhp","202Nm@ 3600-5200rpm",5
"Lexus ES 300h",2019,5150000,20000,Petrol,Dealer,Automatic,"First Owner","22.37 kmpl","2487 CC","214.56 bhp","202Nm@ 3600-5200rpm",5
"Lexus ES 300h",2019,5150000,20000,Petrol,Dealer,Automatic,"First Owner","22.37 kmpl","2487 CC","214.56 bhp","202Nm@ 3600-5200rpm",5
"Lexus ES 300h",2019,5150000,20000,Petrol,Dealer,Automatic,"First Owner","22.37 kmpl","2487 CC","214.56 bhp","202Nm@ 3600-5200rpm",5
"Mahindra Marazzo M2 8Str BSIV",2019,1000000,17000,Diesel,Dealer,Manual,"First Owner","17.3 kmpl","1497 CC","121 bhp","300Nm@ 1750-2500rpm",8
"Mahindra Marazzo M2 BSIV",2019,1075000,23000,Diesel,Dealer,Manual,"First Owner","17.3 kmpl","1497 CC","121 bhp","300Nm@ 1750-2500rpm",7
"Mahindra Marazzo M2 BSIV",2019,1075000,8600,Diesel,Dealer,Manual,"First Owner","17.3 kmpl","1497 CC","121 bhp","300Nm@ 1750-2500rpm",7
"Mahindra Thar CRDe",2019,975000,12584,Diesel,Dealer,Manual,"First Owner","16.55 kmpl","2498 CC","105 bhp","247Nm@ 1800-2000rpm",6
"Mahindra Thar DI 4X4",2019,890000,13000,Diesel,Dealer,Manual,"First Owner","18.06 kmpl","2523 CC","63 bhp","182.5Nm@ 1500-1800rpm",7
"Mahindra XUV300 W8 Option BSIV",2019,1090000,16500,Petrol,Dealer,Manual,"First Owner","17.0 kmpl","1197 CC","110 bhp","200Nm@ 2000-3500rpm",5
"Mahindra XUV300 W8 Option BSIV",2019,1090000,16500,Petrol,Dealer,Manual,"First Owner","17.0 kmpl","1197 CC","110 bhp","200Nm@ 2000-3500rpm",5
"Maruti Celerio VXI",2019,484999,4875,Petrol,Dealer,Manual,"First Owner","21.63 kmpl","998 CC","67.04 bhp","90Nm@ 3500rpm",5
"Maruti Celerio VXi AMT",2019,470000,9000,Petrol,Dealer,Automatic,"First Owner","21.63 kmpl","998 CC","67.04 bhp","90Nm@ 3500rpm",5
"Maruti Ciaz Delta Automatic BSIV",2019,1025000,15000,Petrol,Dealer,Automatic,"First Owner","20.28 kmpl","1462 CC","103.25 bhp","138Nm@ 4400rpm",5
"Maruti Ertiga SHVS VDI",2019,925000,50000,Diesel,Dealer,Manual,"First Owner","24.52 kmpl","1248 CC","88.5 bhp","200Nm@ 1750rpm",7
"Maruti Swift Dzire VDI",2019,800000,35700,Diesel,Dealer,Manual,"First Owner","28.4 kmpl","1248 CC","74.02 bhp","190Nm@ 2000rpm",5
"Maruti Swift VXI",2019,595000,14548,Petrol,Dealer,Manual,"First Owner","21.21 kmpl","1197 CC","81.80 bhp","113Nm@ 4200rpm",5
"Mercedes-Benz E-Class Exclusive E 200 BSIV",2019,5200000,17000,Petrol,Dealer,Automatic,"First Owner","15.0 kmpl","1991 CC","194.4 bhp","300Nm@ 1600-4000rpm",5
"Mercedes-Benz E-Class Exclusive E 200 BSIV",2019,5200000,17000,Petrol,Dealer,Automatic,"First Owner","15.0 kmpl","1991 CC","194.4 bhp","300Nm@ 1600-4000rpm",5
